version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,depth_tree,height_uni,5.000,"(519.000, 120.000, 86.000, 56.000, 25.000, 194.000)","(500, 500)", 862.770,0.001,5000,10
final,depth_tree,height_uni,5.000,"(475.000, 120.000, 65.000, 45.000, 37.000, 258.000)","(377, 493)", 771.040,3.804,5000,10
