version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,depth_tree,stick_min,0.100,0.353,"(500, 500)",,0.000,5000,10
final,depth_tree,stick_min,0.100,0.009,"(5, 588)",,4.925,5000,10
