version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,depth_tree,height_bal,1.500,0.805,"(500, 500)",,0.001,5000,10
final,depth_tree,height_bal,1.500,1.287,"(35, 81)",,5.998,5000,10
