version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,unrolled/depth_tree,uni_height,5.000,"(519.000, 120.000, 86.000, 56.000, 25.000, 194.000)","(500, 500, 500, 500, 500, 500)", 862.770,850.178,0.001,50000,25
final,unrolled/depth_tree,uni_height,5.000,"(269.000, 268.000, 52.000, 116.000, 25.000, 270.000)","(356, 844, 430, 665, 498, 5)", 369.350,356.758,37.290,50000,25
