version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,parametrized/even_list,min_len,5.000,2.042,"(500, 500, 500, 500)",,-2.958,0.000,20000,20
final,parametrized/even_list,min_len,5.000,1.015,"(398, 1, 836, 115)",,-3.985,6.583,20000,20
