version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,unrolled/depth_tree,uni_height,5.000,"(519.000, 120.000, 86.000, 56.000, 25.000, 194.000)","(500, 500, 500, 500, 500, 500)", 862.770,850.178,0.001,30000,5
final,unrolled/depth_tree,uni_height,5.000,"(301.000, 249.000, 52.000, 125.000, 35.000, 238.000)","(461, 868, 345, 532, 771, 2)", 344.000,331.408,27.343,30000,5
