version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,Dragen,constructors,"(10.000, 10.000, 10.000, 10.000)","(1.733, 1.780, 1.787, 4.300)","(500, 500, 500, 500, 500, 500)", 23.586,14.098,0.003,20000,20
final,Dragen,constructors,"(10.000, 10.000, 10.000, 10.000)","(5.208, 5.568, 5.089, 14.865)","(313, 580, 478, 448, 542, 801)", 9.039,-0.449,87.454,20000,20
