version,generator,fv,goal,dist,weights,chi,score,time,iterations,restarts
initial,parametrized/depth_bst,uni_height,9.000,"(506.000, 153.000, 71.000, 56.000, 48.000, 166.000, 0.000, 0.000, 0.000, 0.000)","(500, 500, 500, 500)", 1968.449,1950.142,0.002,80000,80
final,parametrized/depth_bst,uni_height,9.000,"(301.000, 114.000, 106.000, 107.000, 171.000, 201.000, 0.000, 0.000, 0.000, 0.000)","(4, 142, 349, 4)", 874.427,856.120,65.436,80000,80
