version,generator,fv,goal,dist,weights,chi,time,iterations,restarts
initial,parametrized/depthbst_2,stick,0.500,0.340,"(500, 500, 500, 500)",,0.001,20000,20
final,parametrized/depthbst_2,stick,0.500,0.406,"(553, 775, 1191, 373)",,19.732,20000,20
