version,generator,fv,goal,dist,chi,time,iterations,restarts
initial,p_sized_list,uni_len,5.000,"(486.000, 249.000, 136.000, 71.000, 26.000, 32.000)","(500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500)", 817.170,0.000,5000,10
final,p_sized_list,uni_len,5.000,"(320.000, 151.000, 53.000, 280.000, 162.000, 34.000)","(628, 171, 591, 114, 392, 287, 84, 600, 77, 244, 258, 520)", 369.050,1.035,5000,10
